Time,Position_X,Position_Y,Position_Z,Orientation_W,Orientation_X,Orientation_Y,Orientation_Z,Velocity_X,Velocity_Y,Velocity_Z,AngularVelocity_X,AngularVelocity_Y,AngularVelocity_Z,SemiMajorAxis,Eccentricity,Inclination,RAAN,ArgumentOfPeriapsis,MeanAnomaly,DeltaV
0,-1489.94,-6832.43,1.49184,1,0,0,0,-1.11505,0.243954,7.45922,0,0,0,6986.01,0.00100678,98.7,257.7,186.153,173.859,0
0.1,-1490.17,-6832.38,2.98369,1,0,0,0,-1.11487,0.24475,7.45922,0,0,0,6986.01,0.00102393,98.7,257.7,192.168,167.857,0
0.2,-1490.39,-6832.33,4.47553,1,0,0,0,-1.1147,0.245547,7.45922,0,0,0,6986.01,0.00105191,98.7,257.7,197.924,162.113,0
0.3,-1490.61,-6832.28,5.96738,1,0,0,0,-1.11453,0.246343,7.45922,0,0,0,6986.01,0.00108988,98.7,257.7,203.331,156.719,0
0.4,-1490.84,-6832.23,7.45922,1,0,0,0,-1.11435,0.247139,7.45922,0,0,0,6986.01,0.00113684,98.7,257.7,208.333,151.729,0
0.5,-1491.06,-6832.18,8.95107,1,0,0,0,-1.11418,0.247936,7.45922,0,0,0,6986.01,0.00119173,98.7,257.7,212.908,147.166,0
0.6,-1491.28,-6832.13,10.4429,1,0,0,0,-1.114,0.248732,7.45922,0,0,0,6986.01,0.0012535,98.7,257.7,217.056,143.03,0
0.7,-1491.5,-6832.08,11.9348,1,0,0,0,-1.11383,0.249528,7.45922,0,0,0,6986.01,0.00132119,98.7,257.7,220.798,139.3,0
0.8,-1491.73,-6832.03,13.4266,1,0,0,0,-1.11366,0.250325,7.45922,0,0,0,6986.01,0.00139395,98.7,257.7,224.164,135.948,0
0.9,-1491.95,-6831.98,14.9184,1,0,0,0,-1.11348,0.251121,7.45922,0,0,0,6986.02,0.00147101,98.7,257.7,227.186,132.937,0
1,-1492.17,-6831.93,16.4103,1,0,0,0,-1.11331,0.251917,7.45921,0,0,0,6986.02,0.00155173,98.7,257.7,229.902,130.234,0
1.1,-1492.4,-6831.88,17.9021,1,0,0,0,-1.11314,0.252714,7.45921,0,0,0,6986.02,0.00163558,98.7,257.7,232.345,127.803,0
1.2,-1492.62,-6831.83,19.394,1,0,0,0,-1.11296,0.25351,7.45921,0,0,0,6986.02,0.0017221,98.7,257.7,234.547,125.614,0
1.3,-1492.84,-6831.78,20.8858,1,0,0,0,-1.11279,0.254306,7.45921,0,0,0,6986.02,0.0018109,98.7,257.7,236.536,123.637,0
1.4,-1493.06,-6831.73,22.3777,1,0,0,0,-1.11261,0.255103,7.45921,0,0,0,6986.03,0.00190167,98.7,257.7,238.338,121.848,0
1.5,-1493.29,-6831.68,23.8695,1,0,0,0,-1.11244,0.255899,7.4592,0,0,0,6986.03,0.00199414,98.7,257.7,239.975,120.223,0
1.6,-1493.51,-6831.63,25.3613,1,0,0,0,-1.11227,0.256695,7.4592,0,0,0,6986.03,0.00208807,98.7,257.7,241.466,118.744,0
1.7,-1493.73,-6831.58,26.8532,1,0,0,0,-1.11209,0.257492,7.4592,0,0,0,6986.03,0.00218329,98.7,257.7,242.828,117.394,0
1.8,-1493.95,-6831.53,28.345,1,0,0,0,-1.11192,0.258288,7.45919,0,0,0,6986.04,0.00227963,98.7,257.7,244.077,116.158,0
1.9,-1494.18,-6831.47,29.8368,1,0,0,0,-1.11174,0.259084,7.45919,0,0,0,6986.04,0.00237695,98.7,257.7,245.224,115.023,0
2,-1494.4,-6831.42,31.3287,1,0,0,0,-1.11157,0.25988,7.45919,0,0,0,6986.04,0.00247514,98.7,257.7,246.281,113.978,0
2.1,-1494.62,-6831.37,32.8205,1,0,0,0,-1.11139,0.260677,7.45918,0,0,0,6986.05,0.0025741,98.7,257.7,247.258,113.014,0
2.2,-1494.84,-6831.32,34.3124,1,0,0,0,-1.11122,0.261473,7.45918,0,0,0,6986.05,0.00267374,98.7,257.7,248.162,112.122,0
2.3,-1495.06,-6831.26,35.8042,1,0,0,0,-1.11105,0.262269,7.45918,0,0,0,6986.05,0.00277399,98.7,257.7,249.002,111.295,0
2.4,-1495.29,-6831.21,37.296,1,0,0,0,-1.11087,0.263065,7.45917,0,0,0,6986.06,0.00287479,98.7,257.7,249.784,110.525,0
2.5,-1495.51,-6831.16,38.7879,1,0,0,0,-1.1107,0.263862,7.45917,0,0,0,6986.06,0.00297608,98.7,257.7,250.512,109.809,0
2.6,-1495.73,-6831.11,40.2797,1,0,0,0,-1.11052,0.264658,7.45916,0,0,0,6986.07,0.00307781,98.7,257.7,251.194,109.14,0
2.7,-1495.95,-6831.05,41.7715,1,0,0,0,-1.11035,0.265454,7.45916,0,0,0,6986.07,0.00317994,98.7,257.7,251.832,108.515,0
2.8,-1496.17,-6831,43.2634,1,0,0,0,-1.11017,0.26625,7.45915,0,0,0,6986.08,0.00328244,98.7,257.7,252.43,107.929,0
2.9,-1496.4,-6830.95,44.7552,1,0,0,0,-1.11,0.267046,7.45915,0,0,0,6986.08,0.00338526,98.7,257.7,252.993,107.378,0
3,-1496.62,-6830.89,46.247,1,0,0,0,-1.10983,0.267843,7.45914,0,0,0,6986.09,0.00348838,98.7,257.7,253.522,106.861,0
3.1,-1496.84,-6830.84,47.7388,1,0,0,0,-1.10965,0.268639,7.45914,0,0,0,6986.09,0.00359178,98.7,257.7,254.022,106.374,0
3.2,-1497.06,-6830.79,49.2307,1,0,0,0,-1.10948,0.269435,7.45913,0,0,0,6986.1,0.00369543,98.7,257.7,254.494,105.914,0
3.3,-1497.28,-6830.73,50.7225,1,0,0,0,-1.1093,0.270231,7.45913,0,0,0,6986.1,0.00379931,98.7,257.7,254.941,105.48,0
3.4,-1497.51,-6830.68,52.2143,1,0,0,0,-1.10913,0.271027,7.45912,0,0,0,6986.11,0.0039034,98.7,257.7,255.364,105.069,0
3.5,-1497.73,-6830.62,53.7061,1,0,0,0,-1.10895,0.271823,7.45911,0,0,0,6986.11,0.00400769,98.7,257.7,255.765,104.68,0
3.6,-1497.95,-6830.57,55.198,1,0,0,0,-1.10878,0.27262,7.45911,0,0,0,6986.12,0.00411215,98.7,257.7,256.146,104.311,0
3.7,-1498.17,-6830.51,56.6898,1,0,0,0,-1.1086,0.273416,7.4591,0,0,0,6986.12,0.00421679,98.7,257.7,256.509,103.961,0
3.8,-1498.39,-6830.46,58.1816,1,0,0,0,-1.10843,0.274212,7.45909,0,0,0,6986.13,0.00432158,98.7,257.7,256.854,103.628,0
3.9,-1498.61,-6830.4,59.6734,1,0,0,0,-1.10826,0.275008,7.45909,0,0,0,6986.14,0.00442651,98.7,257.7,257.184,103.311,0
4,-1498.84,-6830.35,61.1652,1,0,0,0,-1.10808,0.275804,7.45908,0,0,0,6986.14,0.00453158,98.7,257.7,257.498,103.009,0
4.1,-1499.06,-6830.29,62.6571,1,0,0,0,-1.10791,0.2766,7.45907,0,0,0,6986.15,0.00463678,98.7,257.7,257.799,102.721,0
4.2,-1499.28,-6830.24,64.1489,1,0,0,0,-1.10773,0.277396,7.45907,0,0,0,6986.16,0.00474209,98.7,257.7,258.086,102.446,0
4.3,-1499.5,-6830.18,65.6407,1,0,0,0,-1.10756,0.278192,7.45906,0,0,0,6986.16,0.0048475,98.7,257.7,258.361,102.183,0
4.4,-1499.72,-6830.13,67.1325,1,0,0,0,-1.10738,0.278988,7.45905,0,0,0,6986.17,0.00495303,98.7,257.7,258.625,101.932,0
4.5,-1499.94,-6830.07,68.6243,1,0,0,0,-1.10721,0.279784,7.45904,0,0,0,6986.18,0.00505864,98.7,257.7,258.878,101.691,0
4.6,-1500.17,-6830.01,70.1161,1,0,0,0,-1.10703,0.28058,7.45904,0,0,0,6986.19,0.00516435,98.7,257.7,259.121,101.461,0
4.7,-1500.39,-6829.96,71.6079,1,0,0,0,-1.10686,0.281376,7.45903,0,0,0,6986.19,0.00527014,98.7,257.7,259.354,101.24,0
4.8,-1500.61,-6829.9,73.0997,1,0,0,0,-1.10668,0.282173,7.45902,0,0,0,6986.2,0.00537601,98.7,257.7,259.578,101.028,0
4.9,-1500.83,-6829.85,74.5915,1,0,0,0,-1.10651,0.282969,7.45901,0,0,0,6986.21,0.00548195,98.7,257.7,259.794,100.824,0
5,-1501.05,-6829.79,76.0833,1,0,0,0,-1.10633,0.283765,7.459,0,0,0,6986.22,0.00558797,98.7,257.7,260.002,100.628,0
